"effect","term","estimate","std.error","statistic","df","p.value","significance"
"fixed","(Intercept)",-31.955,8.347,-3.82845272354747,164.828375780153,0,"***"
"fixed","sitely",-6.324,11.394,-0.555014021827005,157.284003923841,0.58,""
"fixed","sitese",7.508,10.549,0.711771064318565,160.786322783671,0.478,""
"fixed","siteso",27.91,12.647,2.20681967940269,162.232711061237,0.029,"*"
"fixed","habitato",18.711,12.367,1.51298309827313,162.063991839791,0.132,""
"fixed","session",6.537,3.208,2.03759941744168,159.321066642182,0.043,"*"
"fixed","sitely:habitato",7.286,17.248,0.422459923189873,156.167677749313,0.673,""
"fixed","sitese:habitato",-16.87,15.476,-1.09008794054704,162.521676211853,0.277,""
"fixed","siteso:habitato",-65.452,18.861,-3.4702847786467,160.369322203149,0.001,"***"
"fixed","sitely:session",-1.569,5.207,-0.301382949561996,156.131873569377,0.764,""
"fixed","sitese:session",-6.886,4.207,-1.63670675838699,159.054920753002,0.104,""
"fixed","siteso:session",-8.465,5.505,-1.53767331271027,161.287463850728,0.126,""
"fixed","habitato:session",-7.764,4.713,-1.64743897017897,162.909173762602,0.101,""
"fixed","sitely:habitato:session",-0.526,7.382,-0.0712450077846692,157.367602908566,0.943,""
"fixed","sitese:habitato:session",5.09,6.02,0.845416542499758,160.586548798578,0.399,""
"fixed","siteso:habitato:session",23.702,7.849,3.01986327684055,160.968392169925,0.003,"**"
